TimeID,Time,intA,intB,intC,intD,StateID
688,"136,860",8,11,0,0,77
689,"136,938",2,4,0,0,23
690,"137,006",2,4,0,0,23
691,"137,160",2,8,0,0,29
692,"137,432",1,3,7,0,2
693,"137,753",3,11,0,0,54
694,"137,827",8,11,0,0,77
695,"137,828",3,8,0,0,49
696,"137,890",3,8,11,0,51
697,"138,312",3,11,0,0,54
698,"138,323",3,6,11,0,45
699,"138,472",1,3,0,0,1
700,"138,474",3,10,0,0,53
701,"138,932",3,8,11,0,51
702,"139,001",8,11,0,0,77
703,"139,002",3,8,0,0,49
704,"139,070",8,11,0,0,77
705,"139,071",3,11,0,0,54
706,"139,501",6,11,0,0,71
707,"139,949",3,8,0,0,49
708,"140,345",3,10,0,0,53
709,"140,506",3,8,0,0,49
710,"140,784",3,11,0,0,54
711,"140,909",7,10,0,0,74
712,"141,058",8,11,0,0,77
713,"141,059",3,8,0,0,49
714,"141,323",3,11,0,0,54
715,"141,381",3,5,0,0,36
716,"141,453",7,10,0,0,74
717,"141,592",3,8,11,0,51
718,"141,888",3,5,0,0,36
719,"142,073",8,11,0,0,77
720,"142,408",3,8,11,0,51
721,"142,732",3,8,11,0,51
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
